


ID,Opponent,W/L,Method,Competition,Weight,Stage,Year
43426,Kieran Kichuk,W,Inside heel hook,NoGi Pan,79KG,F,2023
43695,Josh Squires,W,Inside heel hook,ADCC ECTrials,77KG,R1,2023
43714,Christopher Ong,W,Inside heel hook,ADCC ECTrials,77KG,R2,2023
43727,Josh Bacallao,W,Inside heel hook,ADCC ECTrials,77KG,R4,2023
43734,Michael Saenz,W,Inside heel hook,ADCC ECTrials,77KG,8F,2023
43742,Max Hanson,W,Pts: 2x0,ADCC ECTrials,77KG,4F,2023
43743,Elijah Dorsey,L,Pts: 3x0,ADCC ECTrials,77KG,SF,2023
43746,Kieran Kichuk,W,Pts: 2x0,ADCC ECTrials,77KG,3RD,2023
44576,Tommy Langaker,L,Referee Decision,Polaris 26,77KG,SPF,2023
45343,Michael Esquivel,W,Kneebar,Main Character,83KG,R1,2023
45349,Felipe Cesar,W,EBI/OT,Main Character,83KG,4F,2023
45352,Ryan Aitken,L,EBI/OT,Main Character,83KG,SF,2023
45744,Johnatha Alves,L,Pts: 6x2,NoGi World,79KG,R1,2023
45901,Henrique Camacho,W,Triangle,Sub Hunter Pro,NA,SPF,2023
46811,Tainan Dalpra,L,Referee Decision,WNO 22,84KG,SPF,2024
46907,Caleb Crump,W,Inside heel hook,Enigma Inv,84KG,R1,2024
46916,David Garmo,W,Pts: 3x0,Enigma Inv,84KG,4F,2024
46917,Davis Asare,W,Points,Enigma Inv,84KG,SF,2024
46919,Max Hanson,L,Pts: 2x0,Enigma Inv,84KG,F,2024
47093,F. Bartolotta,W,Pts: 3x0,ADCC EU Trials,77KG,R1,2024
47101,Hakon Koren,W,Pts: 8x0,ADCC EU Trials,77KG,R2,2024
47110,Jack Dolan,W,Referee Decision,ADCC EU Trials,77KG,8F,2024
47116,Jan Stach,W,Pts: 6x0,ADCC EU Trials,77KG,4F,2024
47119,Davis Asare,L,Pts: 3x0,ADCC EU Trials,77KG,SF,2024
47121,Tarik Hopstock,W,Pts: 2x0,ADCC EU Trials,77KG,3RD,2024
48202,Josh Lorton,W,Inside heel hook,ADCC WC Trials,77KG,R2,2024
48214,Marcus Wilson,W,Pts: 3x0,ADCC WC Trials,77KG,R3,2024
48221,Sebastian Perez,W,Referee Decision,ADCC WC Trials,77KG,R4,2024
48229,Dominic Ramos,W,Pts: 3x2,ADCC WC Trials,77KG,R5,2024
48239,Kade Tsitos,W,Inside heel hook,ADCC WC Trials,77KG,4F,2024
48240,Max Hanson,W,Referee Decision,ADCC WC Trials,77KG,SF,2024
48242,Andrew Tackett,L,Pts: 3x0,ADCC WC Trials,77KG,F,2024
49921,Pedro Rocha,W,Pts: 0x0 Pen,UFC FP7,84KG,SPF,2024
23023,Henrique Camargo,W,Triangle,Submission Hunter Pro 88, N/A, N/A, 2024
230203,Jeremy Owens, W, Rear Naked, Submission Hunter Pro 90, N/A, N/A, 2024
20323, Matehus Chedid, W, Heel hook, Submission Hunter Pro 90, N/A, N/A, 2024
23432, Gavin Korbe, W, Kneebar,  Submission Hunter Pro 90, N/A, N/A, 2024
23423, Pedro Rocha, W, Decision,  UFC Fight Pass Invitational 7,  N/A, N/A, 05/15/2024



ID,Opponent,W/L,Method,Competition,Weight,Stage,Year
18107,Jimmy Santiago,W,Darce choke,ADCC EC Trials,66KG,R1,2018
18113,Damon Morgan,W,Armbar,ADCC EC Trials,66KG,R2,2018
18118,Luis Quinones,W,RNC,ADCC EC Trials,66KG,8F,2018
18122,J. Ocasio,W,Outside heel hook,ADCC EC Trials,66KG,4F,2018
18125,Sal Guerriero,W,Inside heel hook,ADCC EC Trials,66KG,SF,2018
18127,Ethan Crelinsten,L,Pts: 3x0,ADCC EC Trials,66KG,F,2018
19087,James Barnes,W,Pts: 3x0,ADCC WC Trials,66KG,R1,2019
19089,Aaron Phillips,W,RNC,ADCC WC Trials,66KG,R2,2019
19090,Ronnie LaBella,W,Pts: 3x0,ADCC WC Trials,66KG,8F,2019
19091,P. Serrano,W,Darce choke,ADCC WC Trials,66KG,4F,2019
19092,Sal Guerriero,W,Triangle,ADCC WC Trials,66KG,SF,2019
19093,N. Ryan,L,RNC,ADCC WC Trials,66KG,F,2019
21876,Augusto Mendes,L,Katagatame,ADCC,66KG,R1,2019
21913,Marcus Almeida,L,Armbar,ADCC,ABS,R1,2019
22535,Tex Johnson,L,EBI/OT,BJJ Fanatics,ABS,R1,2019
28777,Samuel Davis,W,RNC,ADCC EC Trials,66KG,R1,2021
28788,Andrew Franco,W,Submission,ADCC EC Trials,66KG,R2,2021
28801,Jake Norton,W,Inside heel hook,ADCC EC Trials,66KG,R3,2021
28810,Wilson Sojo,W,Pts: 3x0,ADCC EC Trials,66KG,R4,2021
28818,Ben Eddy,W,Pts: 2x0,ADCC EC Trials,66KG,4F,2021
28822,Gianni Grippo,W,RNC,ADCC EC Trials,66KG,SF,2021
28824,Cole Abate,L,Pts: 10x0,ADCC EC Trials,66KG,F,2021
29327,Kade Ruotolo,L,Referee Decision,GrappleFest,73KG,SPF,2021
31308,Gabriel Sousa,W,Referee Decision,WNO 12,70KG,SPF,2022
31482,Thien Luu,W,RNC,ADCC WC Trials,66KG,R1,2022
31497,Anthony Arnal,W,Pts: 3x0,ADCC WC Trials,66KG,R2,2022
31513,Elias Anderson,W,Pts: 2x0,ADCC WC Trials,66KG,R3,2022
31530,Robert Degle,W,Inside heel hook,ADCC WC Trials,66KG,8F,2022
31536,Mauricio Gomez,W,Inside heel hook,ADCC WC Trials,66KG,4F,2022
31539,Damien Anderson,W,Pts: 5x2,ADCC WC Trials,66KG,SF,2022
31541,Josh Cisneros,W,Inside heel hook,ADCC WC Trials,66KG,F,2022
32832,Ashley Williams,L,Referee Decision,GrappleFest 12,73KG,SPF,2022
33292,Mica Galvao,D,---,Polaris 20,ABS,RR,2022
33299,Fabricio Andrey,D,---,Polaris 20,ABS,RR,2022
33304,Mica Galvao,L,Armbar,Polaris 20,ABS,RR,2022
33311,Mica Galvao,L,Triangle,Polaris 20,ABS,RR,2022
34581,Josh Cisneros,L,Referee Decision,F2W 209,70KG,SPF,2022
35031,Diego Oliveira,L,Straight ankle lock,ADCC,66KG,R1,2022
38620,Thomas Halpin,W,RNC,Polaris 24,NA,SPF,2023
38627,Sam McNally,W,RNC,GrappleFest,70KG,SPF,2023
43322,Diogo Reis,L,Referee Decision,WNO 20,70KG,SF,2023
43641,Joseph Carey,W,RNC,ADCC ECTrials,66KG,R1,2023
43657,Vincent Morelli,W,Armbar,ADCC ECTrials,66KG,R2,2023
43669,Joshua Flores,W,RNC,ADCC ECTrials,66KG,R3,2023
43675,Reese Lafever,W,Referee Decision,ADCC ECTrials,66KG,8F,2023
43679,Fabian Ramirez,W,Referee Decision,ADCC ECTrials,66KG,4F,2023
43682,Dominic Mejia,L,Pts: 3x0,ADCC ECTrials,66KG,SF,2023
43685,Ethan Crelinsten,L,Pts: 5x0,ADCC ECTrials,66KG,3RD,2023
46920,Reese Lefever,W,Pts: 2x0,Enigma Inv,NA,SPF,2024
47216,Jason Valle,W,Referee Decision,F2W 246,NA,SPF,2024
47589,Dominic Mejia,W,Referee Decision,GrappleFest 18,70KG,SPF,2024
48098,Cameron Donnelly,W,Armbar,Polaris 27,NA,SPF,2024
48152,Keith Roberts,W,Inverted triangle,ADCC WC Trials,66KG,R2,2024
48167,Ira Lukowsky,W,Inside heel hook,ADCC WC Trials,66KG,R3,2024
48174,Ian Morken,W,RNC,ADCC WC Trials,66KG,R4,2024
48182,Joshua Norikiyo,W,Armbar,ADCC WC Trials,66KG,8F,2024
48187,Richard Alarcon,W,Armbar,ADCC WC Trials,66KG,4F,2024
48188,Jordan Holy,W,Darce choke,ADCC WC Trials,66KG,SF,2024
48190,Deandre Corbe,L,Pts: 6x0,ADCC WC Trials,66KG,F,2024



ID,Opponent,W/L,Method,Competition,Weight,Stage,Year
25051,Gabriel Sousa,W,Referee Decision,F2W 161,65KG,SPF,2021
25112,Kennedy Maciel,L,Referee Decision,F2W 163,65KG,SPF,2021

26103,Danilo Moreira,W,RNC,NoGi Pan Am.,67KG,8F,2021
26106,Kyvann Jimenez,W,Triangle,NoGi Pan Am.,67KG,4F,2021
26111,Orlando Castillo,W,Darce choke,NoGi Pan Am.,67KG,SF,2021
26112,Josh Cisneros,W,Kneebar,NoGi Pan Am.,67KG,F,2021

27922,Kade Ruotolo,L,Darce choke,WNO Champ.,70KG,4F,2021
27931,Demian Anderson,W,Referee Decision,WNO Champ.,70KG,RPC,2021
27932,Josh Cisneros,W,RNC,WNO Champ.,70KG,3RD,2021
28241,Kyvan Jimenez,W,Straight ankle lock,NoGi Worlds,67KG,8F,2021
28243,Adam Benayoun,W,Pts: 0x0, Adv,NoGi Worlds,67KG,4F,2021
28246,Daniel Maira,W,Pts: 15x4,NoGi Worlds,67KG,SF,2021
28248,Gabriel Sousa,W,Pts: 2x2, Adv,NoGi Worlds,67KG,F,2021

30017,Guilherme Silva,W,Inside heel hook,ADCC BR1 Trials,66KG,R1,2022
30025,Lucas Arraes,W,Inside heel hook,ADCC BR1 Trials,66KG,4F,2022
30029,Cleber Sousa,W,Lateral kneebar,ADCC BR1 Trials,66KG,SF,2022
30031,Diogo Reis,L,Referee Decision,ADCC BR1 Trials,66KG,F,2022

35031,Keith Krikorian,W,Straight ankle lock,ADCC,66KG,R1,2022
35036,Kennedy Maciel,W,Z Lock,ADCC,66KG,4F,2022
35038,Gabriel Sousa,L,Referee Decision,ADCC,66KG,SF,2022
35041,Josh Cisneros,W,Pts: 0x0, Pen,ADCC,66KG,3RD,2022

45717,Kamil Wilk,W,Inside heel hook,NoGi World,67KG,R2,2023
45720,Kennedy Maciel,W,Pts: 6x2,NoGi World,67KG,4F,2023
45723,Julian Espinosa,W,Pts: 2x0,NoGi World,67KG,SF,2023
45724,Gianni Grippo,W,Pts: 10x0,NoGi World,67KG,F,2023
46812,Dante Leon,W,Outside heel hook,WNO 22,70KG,SPF,2024
50813,Fabricio Andrey,W,RNC,WNO 24,65KG,SPF,2024
ID,Opponent,W/L,Method,Competition,Weight,Stage,Year
24508,Ronnie Pace,W,RNC,No Gi Pan Am.,92KG,4F,2020
24510,Benjamin Silva,W,RNC,No Gi Pan Am.,92KG,SF,2020
24511,Lucas Barbosa,L,Pts: 2x0,No Gi Pan Am.,92KG,F,2020
24524,John Hansen,W,Guillotine,No Gi Pan Am.,ABS,R1,2020
24531,Arnaldo Maidana,W,Pts: 4x2,No Gi Pan Am.,ABS,8F,2020
24533,Lucas Barbosa,L,Pts: 2x0,No Gi Pan Am.,ABS,4F,2020
25438,Rafael Vasconcelos,L,Pts: 0x0, Adv,Orlando Open,94KG,SF,2021
25444,Michael Liera,L,Pts: 2x0,Orlando Open,ABS,R1,2021
25474,Charles McGuire,W,Short choke,Orlando NGO,91KG,SF,2021
25476,Pedro Marinho,L,Guillotine,Orlando NGO,91KG,F,2021
25487,Francisco Cuneo,W,Straight ankle lock,Orlando NGO,ABS,4F,2021
25488,Diego Ramalho,W,Pts: 5x2,Orlando NGO,ABS,SF,2021
25490,Tex Johnson,L,Outside heel hook,Orlando NGO,ABS,F,2021
26020,Nathan Mendelsohn,W,Pts: 4x3,N.Orleans Open,94KG,F,2021
26025,Joshua McKinney,W,Choke from back,N.Orleans Open,ABS,R1,2021
26029,Charles McGuire,W,Armbar,N.Orleans Open,ABS,4F,2021
26032,Austin Baker,L,Pts: 0x0, Adv,N.Orleans Open,ABS,SF,2021
26044,Alika Angerman,W,RNC,N.Orleans NGO,91KG,F,2021
26048,Charles McGuire,W,Verbal tap,N.Orleans NGO,ABS,4F,2021
26051,Diego Ramalho,L,Footlock,N.Orleans NGO,ABS,SF,2021
26174,A. Angerman,W,RNC,NoGi Pan Am.,91KG,4F,2021
26176,Yuri Santos,W,Armbar,NoGi Pan Am.,91KG,SF,2021
26177,Lucas Barbosa,W,Referee Decision,NoGi Pan Am.,91KG,F,2021
26214,Romulo Caiado,W,Reverse triangle,NoGi Pan Am.,ABS,R1,2021
26225,Joseph Watson,W,Pts: 2x2, Adv,NoGi Pan Am.,ABS,8F,2021
26230,Bruno Matias,W,Pts: 0x0, Adv,NoGi Pan Am.,ABS,4F,2021
26232,Lucas Barbosa,L,Pts: 2x0,NoGi Pan Am.,ABS,SF,2021
26298,Jorge Escudero,L,Outside heel hook,Miami NGO,91KG,F,2021
27902,Mason Fowler,L,Referee Decision,WNO Champ.,ABS,4F,2021
27906,Kaynan Duarte,L,Referee Decision,WNO Champ.,ABS,SF,2021
27939,Rida Haisam,L,Referee Decision,WNO Champ.,ABS,3RD,2021
28323,Vagner Rocha,L,Referee Decision,NoGi Worlds,91KG,8F,2021
28892,Logan Yox,W,Pts: 3x0,ADCC EC Trials,88KG,R1,2021
28901,Maxim Cote,W,Inside heel hook,ADCC EC Trials,88KG,R2,2021
28912,Michael Ferrante,W,RNC,ADCC EC Trials,88KG,R3,2021
28920,James Brasco,W,Armbar,ADCC EC Trials,88KG,R4,2021
28924,Ryan Aitken,W,Pts: 3x0,ADCC EC Trials,88KG,4F,2021
28927,Jacob Couch,W,RNC,ADCC EC Trials,88KG,SF,2021
28928,Elder Cruz,W,Pts: 3x0,ADCC EC Trials,88KG,F,2021
29808,Enrique Galarza,W,EBI/OT,Emerald City,ABS,4F,2021
29809,Nick Ronan,L,Inside heel hook,Emerald City,ABS,SF,2021
30185,F. Costa,W,Inside heel hook,F2W 193,N/A,SPF,2022
30845,Thiago Andrade,W,Inside heel hook,Dallas NGO,91KG,SF,2022
30846,Andre Porfirio,L,Pts: 2x0,Dallas NGO,91KG,F,2022
33152,Joshua Dawson,W,RNC,SUBVERSIV 7,83KG,4F,2022
33160,Jay Rodriguez,W,Referee Decision,SUBVERSIV 7,ABS,SF,2022
33163,Lucas Barbosa,L,Referee Decision,SUBVERSIV 7,83KG,F,2022
33548,PJ Barch,D,---,UFC Inv. 2,ABS,RR,2022
33669,Jay Rodriguez,W,Referee Decision,WNO 13,ABS,SPF,2022
34218,Elijah Carlton,W,Katagatame,Sapateiro Inv,93KG,8F,2022
34229,Brad Schneider,W,RNC,Sapateiro Inv,93KG,4F,2022
34231,Dan Martinez,W,RNC,Sapateiro Inv,93KG,SF,2022
34232,Devhonte Johnson,W,EBI/OT,Sapateiro Inv,93KG,F,2022
35060,Isaque Bahiense,W,Pts: 6x0,ADCC,88KG,R1,2022
35066,Matheus Diniz,W,Triangle,ADCC,88KG,4F,2022
35070,Eoghan OFlanagan,W,Footlock,ADCC,88KG,SF,2022
35072,Lucas Barbosa,W,RNC,ADCC,88KG,F,2022
35126,Rida Haisam,W,Shoulder lock,ADCC,ABS,8F,2022
35128,Nicholas Meregali,L,Pts: 6x2,ADCC,ABS,4F,2022
35218,Austin Baker,W,EBI/OT,EBI 20,ABS,R1,2022
37865,Pedro Marinho,L,Referee Decision,WNO,92KG,SPF,2023
40035,Michael Laci,W,Submission,Houston Open,ABS,SF,2023
40037,Igor Schneider,W,Armbar,Houston Open,ABS,F,2023
40996,Adam Bradley,W,Pts: 2x0,ADCC Dallas,100KG,R1,2023
40998,Sebastian Attard,W,Pts: 3x0,ADCC Dallas,100KG,4F,2023
41000,Brian Guevara,W,RNC,ADCC Dallas,100KG,SF,2023
41001,Daishi Goto,W,Pts: 4x0,ADCC Dallas,100KG,F,2023
42357,Kamal Akagunduz,W,RNC,AIGA,91KG,RR,2023
42363,Murad Ramzanov,W,Verbal tap,AIGA,91KG,RR,2023
42370,A. Gadzhimurad,W,Inside heel hook,AIGA,91KG,RR,2023
42556,Elder Cruz,W,Points,Blue Collar,ABS,4F,2023
42560,Andy Varela,W,Referee Decision,Blue Collar,ABS,SF,2023
42562,Roberto Jimenez,W,Referee Decision,Blue Collar,ABS,F,2023
43334,M. Maciulewicz,W,RNC,Polaris 25,ABS,4F,2023
43336,Fabricio Andrey,L,Pts: 1x0,Polaris 25,ABS,SF,2023
45679,Lucas Barbosa,W,Referee Decision,WNO 21,NA,SPF,2023
45917,Alibi Orazbek,W,Points,AIGA Finals,91KG,SF,2023
45933,Henrique Cardoso,W,Guillotine,AIGA Finals,91KG,F,2023
47227,Patrick Gaudio,W,Pts: 0x0, Adv,IBJJF NGGP,ABS,4F,2024
47230,Pedro Rocha,W,Pts: 4x0,IBJJF NGGP,ABS,SF,2024
47231,Kaynan Duarte,L,Pts: 2x0,IBJJF NGGP,ABS,F,2024
49926,Gabriel Arges,W,RNC,UFC FP7,90KG,SPF,2024
50496,Austin Baker,W,Straight ankle lock,EBI 21,ABS,R1,2024
50504,Declan Moody,W,EBI/OT,EBI 21,ABS,4F,2024
50509,Dan Manasoiu,L,Heel hook,EBI 21,ABS,SF,2024
